employee_id,age,gender,role,experience_years,salary,projects_assigned,certifications,remote,overtime_hours,satisfaction_level,performance_score,training_hours,left_company
27,25,Male,Data Analyst,1,2453.08,2,1,0,8.1,0.14,50.0,28,0
28,38,Female,Developer,7,3130.51,2,2,1,22.0,0.39,50.0,66,0
29,30,Female,QA Engineer,2,3159.48,2,3,0,14.1,0.17,50.0,0,0
30,32,Female,Data Engineer,5,2277.32,2,0,0,0.3,0.2,50.0,57,0
31,30,Female,SysAdmin,4,2504.11,4,0,1,9.7,0.35,50.0,27,0
32,49,Male,Developer,6,2495.98,1,0,0,0.1,0.26,50.0,24,1
33,34,Female,SysAdmin,4,3096.73,5,2,1,21.8,0.26,50.0,45,0
34,26,Female,DevOps,1,2662.06,3,2,0,19.3,0.2,50.0,10,0
35,41,Female,Data Analyst,9,2305.48,5,2,0,21.8,0.01,50.0,23,0
36,25,Female,Data Analyst,1,2725.79,1,2,0,0.0,0.24,50.0,23,0
37,36,Female,SysAdmin,3,2545.56,2,1,1,2.2,0.44,50.0,35,1
38,22,Female,Data Engineer,0,2841.31,4,2,0,4.1,0.21,50.0,23,0
39,24,Male,Security Analyst,0,2771.75,3,1,1,2.8,0.47,50.0,72,0
40,36,Male,Data Engineer,7,2828.91,5,1,0,3.1,0.25,50.0,75,0
41,40,Male,Product Manager,6,2822.42,5,1,0,3.8,0.21,50.0,0,0
42,36,Male,Security Analyst,4,2879.91,4,2,1,8.0,0.37,50.0,50,0
43,34,Male,Developer,3,3110.23,5,3,1,13.0,0.34,50.0,57,0
44,32,Female,Developer,2,2176.64,4,0,0,14.1,0.19,50.0,50,0
45,23,Female,Product Manager,0,2398.54,4,0,1,17.3,0.31,50.0,26,0
46,29,Female,SysAdmin,2,2751.26,1,2,1,12.3,0.5,50.0,35,0
47,31,Female,Security Analyst,2,2691.03,3,1,0,12.3,0.2,50.0,25,1
48,43,Male,Data Analyst,5,2474.26,3,1,0,19.0,0.14,50.0,31,0
49,37,Female,DevOps,3,2315.86,4,0,1,15.7,0.35,50.0,15,0
50,22,Male,Product Manager,0,2529.1,3,1,0,12.2,0.12,50.0,37,0
51,37,Male,Product Manager,7,2687.13,4,1,1,0.0,0.49,50.0,9,0
52,31,Male,Product Manager,2,1928.91,3,1,0,20.7,0.07,50.0,35,1
53,29,Male,Data Analyst,2,2596.24,5,1,0,0.0,0.33,50.0,15,0
54,39,Male,SysAdmin,3,2455.52,4,1,1,4.7,0.47,50.0,44,0
55,43,Male,SysAdmin,11,2578.12,1,2,1,0.0,0.48,50.0,26,1
56,42,Male,Data Analyst,11,2516.43,1,0,1,23.0,0.35,50.0,45,0
57,28,Female,SysAdmin,2,2778.79,2,2,0,5.6,0.23,50.0,61,0
58,32,Male,Data Engineer,5,2490.89,2,0,0,10.5,0.19,50.0,71,1
59,37,Female,SysAdmin,7,2633.89,5,1,1,0.0,0.43,50.0,0,0
60,42,Female,SysAdmin,10,3030.03,2,2,1,11.4,0.37,50.0,23,1
61,31,Female,Data Engineer,3,2985.66,4,2,1,17.8,0.31,50.0,33,0
62,33,Female,Data Analyst,3,2171.35,4,0,0,3.9,0.24,50.0,49,0
63,26,Female,Product Manager,1,2502.34,5,1,0,9.9,0.28,50.0,6,1
64,25,Female,Security Analyst,0,2676.14,4,2,1,12.3,0.4,50.0,20,0
65,41,Female,Developer,8,2296.14,5,1,1,1.8,0.38,50.0,42,0
66,45,Male,Security Analyst,6,3444.93,5,3,1,15.5,0.42,50.0,41,0
67,34,Female,Security Analyst,3,2770.6,2,2,1,3.6,0.37,50.0,47,0
68,43,Male,SysAdmin,8,2213.0,1,0,1,10.9,0.45,50.0,48,1
69,37,Male,Data Analyst,4,2813.47,5,1,0,9.0,0.21,50.0,46,0
70,29,Female,Developer,3,2776.7,4,2,0,18.2,0.15,50.0,43,0
71,37,Male,SysAdmin,8,2448.11,3,1,1,11.5,0.44,50.0,41,0
72,47,Male,Developer,12,2889.4,3,2,1,0.0,0.52,50.0,53,0
73,34,Male,Product Manager,5,2933.32,5,2,0,10.6,0.17,50.0,0,0
74,47,Female,Developer,10,2857.12,2,1,0,10.9,0.12,54.8,70,0
75,22,Female,QA Engineer,0,2559.54,4,0,0,13.1,0.21,50.0,0,0
76,41,Female,QA Engineer,5,2608.7,2,2,0,6.0,0.16,50.0,18,0
77,35,Male,Data Analyst,7,2271.44,3,1,0,0.0,0.21,50.0,35,1
78,32,Female,Product Manager,2,2209.47,1,0,0,0.0,0.27,50.0,53,0
79,35,Male,Data Engineer,3,2354.85,4,0,0,8.3,0.18,50.0,0,0
80,22,Female,Data Engineer,0,2103.16,5,0,1,21.2,0.29,50.0,39,1
81,33,Female,Product Manager,2,2960.47,2,1,0,9.4,0.17,50.0,55,1
82,37,Female,DevOps,5,2550.93,1,2,1,9.0,0.46,50.0,59,0
83,46,Female,SysAdmin,5,2562.12,5,1,0,11.5,0.16,50.0,26,0
84,30,Male,DevOps,2,2627.27,3,1,0,16.3,0.15,50.0,33,0
85,28,Female,QA Engineer,1,2670.36,4,0,0,7.1,0.27,50.0,27,0
86,30,Female,Product Manager,1,2547.67,3,0,0,15.4,0.15,50.0,32,0
87,42,Female,Data Engineer,9,2489.37,5,0,1,17.2,0.3,50.0,19,0
88,37,Female,DevOps,8,2917.3,2,0,1,14.8,0.35,50.0,22,0
89,30,Male,Product Manager,2,3071.8,4,2,0,17.5,0.04,50.0,48,0
90,39,Female,DevOps,9,2679.02,1,1,1,23.2,0.32,50.0,42,0
91,35,Female,Developer,3,2507.98,2,0,0,9.3,0.18,50.0,49,0
92,42,Male,Data Analyst,6,2723.54,4,2,1,6.5,0.36,50.0,44,0
93,29,Male,Developer,1,2595.39,4,0,0,0.1,0.36,50.0,54,0
94,32,Male,DevOps,4,2675.83,3,2,0,12.2,0.13,50.0,57,0
95,31,Female,Security Analyst,3,2451.91,2,1,1,9.3,0.45,50.0,5,1
96,23,Male,Product Manager,0,2878.71,1,1,0,15.5,0.19,50.0,22,0
97,37,Male,DevOps,7,2597.09,2,2,0,8.4,0.18,50.0,35,0
98,37,Male,DevOps,6,2892.83,2,3,1,2.6,0.46,50.0,39,0
99,35,Male,QA Engineer,5,2522.46,5,1,0,9.5,0.18,50.0,26,1
100,33,Female,SysAdmin,6,2586.58,3,1,0,0.0,0.23,50.0,58,0
101,23,Male,DevOps,0,2640.37,5,1,1,9.3,0.38,50.0,79,0
102,31,Female,Security Analyst,3,2751.23,4,2,0,5.4,0.26,50.0,43,0
103,32,Male,Developer,4,2874.75,1,4,0,18.7,0.15,50.0,41,0
104,28,Female,Product Manager,2,2518.34,2,1,1,19.2,0.35,50.0,56,0
105,33,Male,Product Manager,2,2730.83,5,1,0,10.0,0.1,50.0,2,0
106,38,Male,Developer,5,2494.74,3,0,1,0.0,0.47,50.0,40,0
107,50,Female,Data Engineer,10,2679.05,3,1,0,2.3,0.18,50.0,59,0
108,36,Male,Security Analyst,5,2780.84,5,1,1,9.9,0.34,50.0,27,0
109,37,Female,SysAdmin,4,2557.89,3,0,0,3.8,0.22,50.0,15,0
110,34,Male,Product Manager,6,2330.16,4,0,0,7.9,0.29,50.0,36,0
111,22,Male,Data Analyst,0,2665.02,4,1,1,21.6,0.35,50.0,38,0
112,34,Female,Product Manager,4,2660.12,2,1,1,6.7,0.35,50.0,21,0
113,35,Female,DevOps,6,2582.65,1,3,0,10.3,0.3,50.0,81,0
114,54,Female,QA Engineer,17,2380.13,2,0,0,12.0,0.18,60.6,30,0
115,33,Female,Data Engineer,2,3289.0,1,5,1,3.2,0.48,50.0,16,1
116,37,Female,Data Analyst,4,2787.45,4,3,1,5.4,0.49,50.0,38,1
117,34,Female,Data Analyst,5,2807.67,3,3,0,8.1,0.21,50.0,58,0
118,25,Male,Security Analyst,1,2804.72,5,2,1,10.8,0.32,50.0,40,0
119,44,Female,QA Engineer,4,2453.03,5,0,1,16.1,0.36,50.0,49,0
120,41,Female,Security Analyst,11,2738.63,4,2,0,2.2,0.23,50.0,22,0
121,41,Male,SysAdmin,7,2899.25,4,1,0,10.1,0.09,50.0,69,0
122,27,Male,DevOps,1,2849.99,1,3,1,0.0,0.43,50.0,51,0
123,46,Male,Data Analyst,7,2502.08,4,0,0,9.5,0.13,50.0,60,0
124,23,Male,SysAdmin,0,2482.28,1,1,1,12.4,0.37,50.0,47,0
125,39,Male,Security Analyst,8,2957.04,3,2,1,11.1,0.42,50.0,56,0
126,52,Female,QA Engineer,17,2768.83,1,1,1,23.8,0.32,54.1,22,0
127,27,Female,Product Manager,1,2952.27,2,1,1,5.4,0.48,50.0,30,0
128,30,Female,Developer,4,2778.62,1,2,0,7.5,0.23,50.0,66,0
129,35,Female,Security Analyst,6,2661.87,3,1,0,8.5,0.15,50.0,71,1
130,30,Male,DevOps,3,2442.02,4,0,1,13.6,0.33,50.0,17,0
131,22,Male,Security Analyst,0,3214.56,1,3,1,22.4,0.38,50.0,44,0
132,35,Female,Developer,4,2823.71,1,2,0,17.5,0.13,50.0,31,0
133,26,Female,Data Analyst,1,2583.64,3,1,1,6.5,0.55,50.0,26,1
134,38,Female,Data Engineer,3,2421.21,3,1,1,0.0,0.39,50.0,45,0
135,27,Female,Product Manager,2,2158.82,5,1,0,16.5,0.21,50.0,62,0
136,47,Male,DevOps,5,2618.33,3,1,0,11.4,0.09,50.0,49,1
137,28,Male,DevOps,3,2539.38,5,1,1,15.2,0.2,50.0,33,0
138,32,Male,Data Engineer,5,1818.33,4,0,1,0.6,0.47,50.0,50,0
139,41,Female,Developer,5,2517.95,5,1,1,5.0,0.31,50.0,32,0
140,25,Female,Developer,0,2541.93,1,2,1,3.4,0.5,50.0,48,0
141,36,Female,SysAdmin,5,2933.44,3,1,0,15.2,0.22,50.0,67,0
142,45,Male,Data Engineer,10,2437.44,2,0,1,0.0,0.41,50.0,0,0
143,22,Female,Data Engineer,0,2847.49,1,1,0,0.3,0.22,50.0,55,1
144,36,Female,SysAdmin,6,2990.12,5,3,1,11.8,0.27,50.0,9,0
145,37,Female,DevOps,4,2653.49,3,0,0,0.0,0.17,50.0,64,1
146,41,Female,SysAdmin,4,3210.18,5,2,1,11.9,0.32,50.0,27,1
147,25,Female,SysAdmin,0,2613.46,2,0,1,6.1,0.35,50.0,15,0
148,24,Female,Data Analyst,0,3241.91,3,1,1,0.0,0.46,50.0,53,0
149,39,Female,Data Engineer,8,2874.87,1,2,0,17.5,0.22,50.0,47,1
150,37,Female,Data Analyst,8,3294.0,1,4,0,0.0,0.23,50.0,20,0
151,37,Male,Data Analyst,5,2683.13,1,2,1,13.9,0.36,50.0,14,0
152,37,Female,Security Analyst,6,2314.56,4,1,1,17.0,0.36,50.0,36,0
153,29,Female,Security Analyst,1,2099.52,4,1,1,12.2,0.32,50.0,15,0
154,36,Female,Product Manager,5,2776.76,5,1,1,16.8,0.36,50.0,18,0
155,37,Female,Developer,3,2502.8,5,1,0,0.0,0.22,50.0,42,0
156,29,Female,Data Analyst,3,2682.03,4,2,0,4.6,0.31,50.0,20,0
157,49,Male,Product Manager,15,2730.87,4,2,1,18.6,0.33,52.1,48,0
158,38,Female,Data Engineer,4,2316.64,4,0,0,20.4,0.14,50.0,69,0
159,25,Male,SysAdmin,1,2781.43,2,0,1,24.9,0.29,50.0,37,0
160,40,Male,Product Manager,3,3173.58,1,6,0,6.1,0.19,50.0,42,0
161,27,Male,Product Manager,1,2697.8,3,1,0,9.9,0.21,50.0,80,0
162,41,Female,QA Engineer,4,2547.79,5,0,1,16.2,0.33,50.0,16,0
163,44,Female,Security Analyst,7,2303.14,4,1,1,7.7,0.4,50.0,63,0
164,28,Female,SysAdmin,1,2865.35,2,2,1,0.0,0.43,50.0,61,0
165,42,Male,SysAdmin,6,2370.04,4,1,1,15.2,0.47,50.0,57,0
166,38,Male,Product Manager,5,2881.95,1,3,1,8.9,0.39,50.0,65,0
167,41,Female,Security Analyst,6,2523.29,4,1,0,12.8,0.21,50.0,45,0
168,50,Male,Data Engineer,12,2681.95,4,1,0,15.8,0.13,52.9,28,0
169,33,Female,Security Analyst,6,2870.43,2,2,1,14.9,0.34,50.0,61,0
170,28,Female,Product Manager,2,2573.85,4,2,1,13.0,0.43,50.0,62,0
171,27,Male,Security Analyst,1,2633.31,1,2,0,11.7,0.19,50.0,62,1
172,28,Male,QA Engineer,1,2124.71,3,0,1,14.5,0.46,50.0,40,0
173,34,Female,Product Manager,6,2532.48,5,2,0,2.7,0.21,50.0,25,0
174,37,Female,Product Manager,6,2602.04,2,0,0,7.6,0.3,50.0,43,0
175,37,Male,Product Manager,5,2375.84,4,0,0,4.8,0.22,50.0,58,0
176,41,Male,Data Analyst,4,2632.05,4,0,1,8.7,0.39,50.0,60,0
177,35,Male,QA Engineer,4,2259.83,3,0,1,8.2,0.42,50.0,31,0
178,46,Female,SysAdmin,7,2445.86,3,1,0,0.0,0.24,50.0,46,0
179,32,Female,Product Manager,5,3270.75,4,4,0,5.2,0.26,50.0,13,1
180,56,Female,Developer,18,3086.18,3,1,0,17.3,0.23,67.6,59,0
181,40,Female,DevOps,4,2151.77,4,0,1,7.5,0.38,50.0,24,0
182,28,Male,Developer,2,2336.8,4,0,1,10.8,0.38,50.0,55,1
183,26,Male,Product Manager,1,2772.23,4,1,1,24.7,0.19,50.0,17,0
184,38,Female,Developer,5,2416.33,5,0,0,12.6,0.14,50.0,60,0
185,33,Male,Security Analyst,6,2693.47,4,0,1,21.2,0.35,50.0,46,0
186,40,Female,QA Engineer,7,2641.34,3,3,1,12.0,0.44,50.0,24,0
187,38,Male,QA Engineer,5,2842.69,1,1,1,7.1,0.45,50.0,53,0
188,34,Female,Product Manager,3,2513.56,2,2,0,7.4,0.21,50.0,28,1
189,28,Male,Security Analyst,3,2649.01,2,1,1,12.9,0.37,50.0,54,0
190,22,Female,Developer,0,3239.48,2,4,0,11.4,0.17,50.0,34,0
191,31,Male,Security Analyst,3,2625.95,2,1,0,18.7,0.13,50.0,5,0
192,41,Male,QA Engineer,5,3164.37,4,4,1,27.1,0.32,50.0,20,0
193,36,Female,Developer,4,3104.94,1,3,1,17.0,0.31,50.0,31,0
194,25,Female,SysAdmin,1,2544.93,5,0,0,11.3,0.18,50.0,67,0
195,36,Male,Security Analyst,5,2687.55,4,2,1,14.0,0.42,50.0,58,0
196,38,Female,Data Engineer,5,2554.43,1,1,0,14.0,0.21,50.0,72,0
197,27,Female,Data Engineer,2,2880.88,3,4,0,11.9,0.2,50.0,73,0
198,36,Male,Developer,7,2806.67,3,4,1,7.2,0.36,50.0,29,0
199,35,Male,QA Engineer,4,3013.3,5,2,0,6.5,0.26,50.0,36,1
200,25,Female,SysAdmin,0,2572.69,1,0,0,12.5,0.08,50.0,31,1
201,37,Female,DevOps,6,3039.39,1,2,0,3.5,0.19,50.0,26,0
202,39,Female,Developer,7,2721.68,3,1,1,9.5,0.41,50.0,3,0
203,43,Male,Product Manager,10,2529.11,1,1,0,21.6,0.16,50.0,39,0
204,43,Male,Data Analyst,11,2701.37,2,3,1,1.5,0.42,51.4,14,0
205,23,Male,Security Analyst,0,2647.16,5,2,1,6.9,0.43,50.0,39,0
206,27,Male,Data Analyst,1,2884.9,1,2,0,7.6,0.15,50.0,82,0
207,39,Female,Product Manager,9,2457.38,2,1,1,17.6,0.36,50.0,29,0
208,39,Female,Data Analyst,6,2713.6,5,0,1,13.2,0.42,50.0,43,0
209,39,Male,SysAdmin,7,2377.73,2,0,0,16.1,0.15,50.0,58,1
210,60,Male,Product Manager,17,2574.69,5,1,1,18.1,0.46,58.6,45,0
211,39,Female,Developer,7,3137.1,5,5,1,27.5,0.3,50.0,45,1
212,44,Male,QA Engineer,6,2646.16,5,1,1,0.0,0.49,50.0,32,0
213,42,Male,SysAdmin,10,2790.09,2,0,0,31.3,0.08,50.0,35,0
214,40,Male,Data Engineer,9,2772.69,1,2,0,18.7,0.03,50.0,20,0
215,32,Male,Developer,4,2475.6,2,1,0,26.8,0.15,50.0,56,0
216,41,Female,Developer,7,3333.43,2,4,0,7.6,0.23,50.0,5,0
217,28,Female,Data Engineer,1,2679.85,4,0,0,11.4,0.19,50.0,59,1
218,33,Female,Data Engineer,2,2578.38,4,1,0,3.2,0.17,50.0,11,0
219,31,Female,Developer,3,2576.28,1,3,0,0.0,0.25,50.0,59,0
220,35,Female,DevOps,4,2633.57,3,2,0,10.4,0.17,50.0,32,0
221,53,Male,DevOps,18,3260.65,2,3,1,7.5,0.35,58.6,15,0
222,22,Female,Security Analyst,0,2999.72,2,2,1,8.6,0.5,50.0,51,1
223,40,Female,Developer,8,2478.5,4,0,1,4.5,0.49,50.0,58,0
224,22,Female,Security Analyst,0,2583.08,4,1,1,13.2,0.33,50.0,31,0
225,31,Female,Security Analyst,2,2647.42,3,2,0,12.0,0.14,50.0,54,1
226,43,Male,Data Engineer,12,2899.24,3,2,0,11.4,0.19,50.0,0,1
227,35,Male,Data Engineer,4,2396.58,4,1,1,4.4,0.46,50.0,13,0
228,26,Male,Data Analyst,0,2640.36,3,2,1,3.9,0.42,50.0,65,0
229,29,Female,DevOps,2,2874.42,3,1,0,10.8,0.2,50.0,35,0
230,40,Female,DevOps,9,2644.5,2,0,0,2.7,0.2,50.0,2,0
231,29,Female,Product Manager,3,3047.04,1,2,1,12.4,0.34,50.0,26,1
232,36,Male,Data Analyst,2,2769.59,3,3,1,2.2,0.41,50.0,21,0
233,35,Male,Product Manager,7,2649.77,5,3,1,18.1,0.32,50.0,36,1
234,29,Male,QA Engineer,2,2746.1,1,0,0,5.7,0.14,50.0,32,0
235,52,Female,Data Engineer,6,2747.49,4,1,0,20.8,0.13,50.0,43,0
236,40,Female,SysAdmin,9,3255.39,4,4,1,14.3,0.43,50.0,38,0
237,22,Female,QA Engineer,0,2750.37,1,1,1,4.4,0.37,50.0,67,0
238,36,Female,Security Analyst,6,2971.16,1,1,1,12.6,0.35,50.0,48,0
239,29,Male,DevOps,3,2591.68,2,0,0,18.8,0.1,50.0,49,0
240,41,Female,Data Analyst,9,2491.86,5,0,0,5.2,0.16,50.0,63,1
241,28,Female,Data Analyst,3,2664.96,3,1,0,6.6,0.06,50.0,32,0
242,34,Male,SysAdmin,6,3096.42,1,4,0,12.3,0.14,50.0,14,0
243,39,Male,Developer,7,3065.75,2,2,0,17.6,0.11,50.0,64,0
244,41,Male,Product Manager,11,3151.21,4,3,1,9.2,0.44,50.0,42,0
245,25,Male,Data Analyst,1,2767.74,3,0,1,12.7,0.37,50.0,42,0
246,32,Female,Product Manager,2,2349.62,5,2,1,19.6,0.38,50.0,27,0
247,31,Female,DevOps,4,2703.86,5,2,1,5.6,0.42,50.0,27,0
248,29,Female,Data Engineer,2,2721.72,4,3,0,2.6,0.22,50.0,56,1
249,49,Male,DevOps,9,2975.84,2,1,0,18.2,0.23,50.0,59,0
250,38,Female,DevOps,7,3055.67,2,5,1,14.5,0.34,50.0,55,0
251,24,Male,SysAdmin,0,2724.82,4,1,1,0.0,0.45,50.0,55,0
252,42,Male,Security Analyst,8,3002.32,5,1,1,21.2,0.3,50.0,51,0
253,51,Male,Security Analyst,15,2671.26,3,1,0,14.9,0.14,50.0,42,1
254,43,Female,Data Engineer,5,2381.89,5,0,1,13.4,0.42,50.0,36,1
255,22,Male,Product Manager,0,2646.49,4,1,1,9.2,0.4,50.0,64,0
256,31,Female,Data Engineer,5,2184.15,3,0,0,6.3,0.16,50.0,32,0
257,45,Female,Security Analyst,8,2755.57,3,4,0,12.1,0.19,50.0,47,0
258,29,Female,Developer,2,2865.86,3,2,1,17.7,0.4,50.0,23,0
259,38,Male,SysAdmin,6,2116.76,3,1,1,3.9,0.39,50.0,26,0
260,41,Male,Product Manager,7,2591.08,2,1,1,9.8,0.36,50.0,35,0
261,27,Male,DevOps,2,2577.05,1,1,0,16.2,0.12,50.0,23,0
262,34,Female,Security Analyst,6,2996.14,1,1,1,17.7,0.33,50.0,55,0
263,22,Female,SysAdmin,0,2859.57,4,2,1,5.5,0.44,50.0,13,0
264,26,Male,Developer,2,3147.03,4,5,0,10.9,0.19,50.0,41,0
265,32,Female,Data Engineer,4,2642.31,3,0,1,6.7,0.42,50.0,42,0
266,25,Male,Data Analyst,1,2640.39,5,1,1,11.0,0.45,50.0,3,0
267,48,Male,Data Analyst,12,2535.01,4,2,0,11.5,0.19,50.0,31,0
268,23,Female,Data Engineer,0,2962.24,1,3,0,11.3,0.22,50.0,45,1
269,31,Male,Security Analyst,3,2634.31,5,1,0,18.3,0.11,50.0,48,0
270,36,Male,Developer,3,2620.34,4,1,1,10.7,0.41,50.0,35,1
271,46,Male,QA Engineer,6,2843.32,2,2,0,0.0,0.27,50.0,53,0
272,23,Female,Data Analyst,0,3116.77,4,3,1,4.8,0.41,50.0,37,0
273,44,Female,Security Analyst,6,2676.65,2,1,1,29.6,0.29,50.0,40,0
274,35,Female,Developer,6,2347.59,5,1,1,4.7,0.35,50.0,45,0
275,27,Male,SysAdmin,1,2450.2,4,2,0,13.8,0.19,50.0,58,0
276,38,Male,QA Engineer,8,2376.9,1,0,0,19.8,0.07,50.0,26,1
277,36,Female,Data Analyst,4,2513.01,3,1,0,22.7,0.18,50.0,30,0
278,30,Female,SysAdmin,2,2524.25,2,0,0,11.3,0.17,50.0,26,0
279,35,Male,QA Engineer,5,2718.26,1,0,1,16.4,0.31,50.0,33,1
280,31,Male,SysAdmin,2,2915.7,5,1,1,9.7,0.43,50.0,68,0
281,35,Male,QA Engineer,7,2623.27,2,2,1,4.9,0.44,50.0,51,0
282,40,Male,Data Analyst,4,2398.29,1,2,1,10.0,0.39,50.0,17,0
283,47,Female,DevOps,9,2613.64,4,1,0,5.6,0.08,50.0,27,0
284,25,Male,Security Analyst,1,3121.36,1,3,1,20.1,0.38,50.0,47,0
285,52,Male,SysAdmin,13,2364.33,1,0,1,22.8,0.32,50.0,21,0
286,22,Male,Data Engineer,0,2462.5,2,0,0,11.6,0.15,50.0,25,0
287,33,Male,SysAdmin,4,2567.85,1,1,1,4.1,0.38,50.0,66,0
288,39,Male,QA Engineer,8,2917.98,1,1,1,3.0,0.5,50.0,27,0
289,37,Male,QA Engineer,8,3211.74,2,2,1,19.1,0.35,50.0,59,0
290,30,Male,Developer,4,2884.02,1,2,0,4.8,0.3,50.0,65,0
291,33,Female,Data Analyst,3,2588.61,1,0,0,0.0,0.31,50.0,25,0
292,31,Female,DevOps,5,2621.7,1,3,0,17.0,0.16,50.0,22,0
293,30,Male,SysAdmin,1,2366.24,5,0,1,13.8,0.39,50.0,34,1
294,41,Male,DevOps,4,2777.18,2,1,0,2.4,0.16,50.0,18,0
295,37,Male,Developer,7,2831.42,1,2,1,9.6,0.43,50.0,42,1
296,29,Female,Product Manager,1,2702.57,3,1,1,16.3,0.36,50.0,35,0
297,42,Female,Developer,4,2258.49,5,1,0,14.7,0.16,50.0,47,0
298,37,Female,Developer,4,2024.6,2,0,0,8.1,0.18,50.0,67,0
299,41,Female,QA Engineer,7,2841.29,3,0,1,4.3,0.46,50.0,56,0
300,40,Male,Product Manager,8,2870.29,1,3,1,5.3,0.39,50.0,49,0
301,28,Male,Data Engineer,2,2116.48,1,0,1,12.2,0.32,50.0,0,0
302,30,Male,Developer,2,2725.53,4,2,1,16.1,0.3,50.0,48,0
303,40,Female,DevOps,7,2313.22,4,1,1,13.5,0.31,50.0,74,0
304,39,Female,Data Analyst,9,2219.75,5,0,0,2.3,0.28,50.0,0,0
305,34,Female,Data Analyst,6,2451.27,4,1,1,14.4,0.34,50.0,53,0
306,35,Male,QA Engineer,4,2312.99,3,1,1,0.0,0.45,50.0,36,0
307,45,Female,Data Analyst,13,1804.75,2,0,1,21.1,0.4,51.4,23,0
308,30,Female,Data Analyst,3,2901.93,3,2,0,22.1,0.07,50.0,56,0
309,39,Female,Security Analyst,3,2633.05,3,2,0,9.2,0.14,50.0,74,1
310,33,Male,DevOps,2,3090.13,1,3,1,5.6,0.42,50.0,55,0
311,33,Female,QA Engineer,2,2607.43,3,1,1,13.7,0.34,50.0,32,0
312,43,Female,Security Analyst,10,2235.77,3,1,0,6.3,0.26,50.0,21,0
313,41,Male,Data Engineer,5,2894.13,1,3,1,3.0,0.42,50.0,42,0
314,41,Female,Security Analyst,7,2882.89,3,1,1,0.0,0.41,50.0,57,0
315,45,Male,Data Engineer,5,2580.09,4,1,1,19.5,0.3,50.0,32,0
316,35,Male,Security Analyst,7,2455.25,3,1,0,16.2,0.19,50.0,34,0
317,40,Male,DevOps,6,2413.54,4,1,1,6.1,0.42,54.1,96,0
318,32,Male,QA Engineer,5,2334.42,5,0,1,13.5,0.39,50.0,61,0
319,37,Female,Security Analyst,8,2367.45,2,1,0,7.1,0.17,50.0,63,0
320,33,Male,QA Engineer,2,2504.56,2,1,1,8.3,0.35,50.0,10,0
321,35,Male,DevOps,5,2313.03,5,2,1,7.0,0.36,50.0,25,0
322,39,Male,Data Engineer,3,2506.65,3,2,0,15.8,0.12,50.0,41,0
323,28,Male,Security Analyst,3,3169.38,1,4,1,7.3,0.43,50.0,19,0
324,51,Male,Data Engineer,11,2629.03,2,1,0,4.7,0.15,50.0,72,0
325,26,Male,SysAdmin,0,2683.39,2,2,0,3.5,0.17,50.0,68,0
326,25,Female,Security Analyst,0,2346.24,1,1,0,0.8,0.28,50.0,29,0
327,44,Female,Data Engineer,7,2928.62,4,1,1,12.0,0.4,50.0,75,0
328,41,Female,Developer,10,3035.12,3,1,1,0.3,0.48,50.0,39,0
