tenure_months,salary_usd,avg_weekly_hours,trainings_completed,tickets_per_month,job_satisfaction,left_company
36,43800,38.7,2,38,3,1
35,47200,46.7,5,38,2,1
30,45600,42.5,2,37,3,0
37,44100,46.4,5,47,3,0
21,41900,46.3,3,23,5,0
26,43100,46.3,3,40,3,0
64,47900,42.8,4,42,2,1
34,44100,42.0,4,34,3,0
17,37700,49.1,5,34,5,0
42,45400,36.3,1,41,4,0
35,45200,48.6,5,38,3,0
39,45700,44.9,5,45,3,0
26,43400,45.5,2,36,4,0
40,46500,44.9,5,38,3,0
32,43800,42.3,2,43,3,0
32,47600,42.2,2,45,3,0
26,45300,41.3,3,48,3,1
41,43200,38.6,4,37,4,0
6,42700,45.6,7,32,5,0
41,46300,44.1,2,36,2,0
30,44300,42.0,2,46,4,0
39,46400,40.0,3,35,3,0
30,42800,37.3,1,30,4,0
44,42900,37.8,1,44,3,0
44,47700,41.5,1,43,4,0
50,47200,41.1,3,45,3,0
49,47500,45.9,3,37,3,1
31,49600,37.6,3,44,3,0
36,45600,34.3,3,43,3,0
30,43500,39.0,3,39,5,0
13,43300,42.9,4,34,5,0
33,44700,41.7,5,40,3,0
51,46700,32.9,3,46,2,0
31,44500,37.8,2,36,4,0
35,44700,41.6,1,45,3,0
21,46000,48.2,6,39,4,0
37,47400,39.9,0,32,3,0
54,44900,39.0,1,42,2,1
29,39100,44.9,3,43,3,1
48,43600,41.2,3,37,3,0
36,45000,37.8,2,40,4,0
35,42500,38.8,3,35,5,0
37,45700,37.9,0,38,3,0
18,43200,48.9,3,36,3,0
54,46000,35.3,1,46,1,0
37,43600,43.0,4,48,3,0
38,44600,49.5,4,42,2,0
17,43200,43.6,5,31,5,0
36,45600,42.8,4,45,4,0
14,44100,44.4,4,44,5,0
21,41200,46.7,4,30,5,0
28,46700,40.8,6,41,4,0
27,43600,43.0,2,42,3,0
29,42700,38.7,4,34,2,0
27,43200,39.4,2,44,4,0
37,46000,41.5,1,42,5,0
40,44900,38.8,2,43,2,0
18,44700,38.6,1,40,3,1
36,42000,51.9,5,37,4,0
34,46100,39.0,3,41,2,0
27,46900,47.0,4,33,4,0
42,47100,38.7,5,42,3,0
25,42700,44.2,4,34,4,0
18,42500,43.0,3,40,3,0
17,44100,47.3,1,41,5,0
36,41400,49.3,4,40,5,0
38,44500,39.7,3,44,3,0
13,40900,45.8,6,33,5,0
24,42500,47.6,3,46,3,0
33,46800,39.8,3,42,4,0
37,44300,40.4,1,43,4,0
38,44900,37.5,2,37,3,0
40,44900,44.0,2,53,1,1
56,44400,42.1,4,51,3,0
26,44300,42.4,6,27,2,0
23,40400,36.1,3,36,5,0
29,41900,43.2,4,36,3,0
61,50400,40.9,1,43,2,0
32,43700,47.4,6,36,3,0
34,43200,48.3,3,40,3,0
58,48800,36.3,2,45,2,0
35,44900,42.5,4,41,3,0
47,47100,40.0,4,38,1,0
47,45700,36.1,3,39,2,1
43,48100,34.2,1,34,3,0
46,46800,42.3,3,42,4,0
55,46300,40.4,6,45,2,0
19,40300,44.3,6,37,4,0
40,47700,45.7,2,42,2,0
44,42300,45.6,5,42,2,0
25,39900,46.7,5,44,4,0
22,43100,44.2,3,40,3,1
39,48300,42.3,5,41,3,0
41,49400,39.1,2,52,3,0
37,45500,43.5,3,41,4,0
41,48300,43.7,4,39,1,1
28,42900,34.6,2,33,4,0
34,41800,44.5,4,37,4,0
38,45100,44.9,3,44,3,1
23,44200,41.6,4,36,5,0
40,46200,46.7,4,38,2,1
25,44800,39.6,3,38,2,0
48,50900,39.6,3,41,3,0
37,43600,38.0,1,37,3,1
44,46200,40.6,3,42,3,0
34,45000,48.1,6,29,2,1
39,47300,42.4,3,51,1,1
46,47900,40.1,3,36,3,0
30,43700,44.5,3,46,3,1
39,45000,40.5,4,42,1,1
33,41800,44.9,6,32,5,0
26,42000,44.8,3,47,4,0
16,41700,41.9,3,32,5,0
15,38900,46.3,5,29,4,0
25,45600,46.0,5,34,4,0
28,44600,44.5,6,33,3,0
28,40400,39.9,6,35,5,0
37,43600,39.9,3,45,4,0
29,50200,46.8,2,41,3,1
33,46500,40.4,4,44,3,0
40,46300,38.2,4,40,3,0
23,43000,42.3,2,36,4,0
47,44800,38.8,2,46,4,0
29,43200,38.2,0,35,5,0
18,41400,45.2,3,32,4,0
46,42300,37.9,2,46,3,1
30,41700,46.7,5,35,4,0
33,47100,41.6,2,37,3,0
15,39100,45.4,6,34,3,0
54,47900,31.0,3,41,1,1
15,39300,36.9,4,38,5,0
28,44300,45.7,4,35,3,0
31,41300,38.6,4,34,3,0
44,49900,45.5,4,48,3,0
39,44500,32.9,1,44,2,0
33,42300,34.6,3,46,3,0
30,44600,47.1,4,44,2,0
40,45300,50.4,2,34,4,0
25,40900,46.8,6,31,4,0
25,41400,40.9,3,33,3,0
31,46200,41.1,2,45,4,0
36,49500,43.4,4,34,2,1
28,47500,42.1,2,34,3,0
45,42300,46.7,4,42,3,0
48,45600,40.6,4,45,2,0
33,42300,41.8,3,36,3,0
53,45400,46.0,5,51,1,0
34,42100,39.3,2,32,5,0
51,47700,44.8,2,43,3,0
30,45800,46.1,2,39,4,0
40,42600,34.3,0,34,4,0
35,46900,46.7,4,48,4,0
34,45900,35.8,2,40,3,0
47,45000,38.8,1,38,2,1
19,40800,47.3,7,35,5,0
56,49200,36.9,3,44,3,0
27,43700,42.9,3,38,4,1
29,47000,37.0,3,34,4,0
58,47200,38.3,1,54,1,1
24,42500,43.1,3,34,3,0
13,41400,43.1,6,40,5,0
43,43600,43.3,4,34,3,0
36,46400,40.5,2,43,3,0
29,42400,44.4,6,40,3,0
34,44200,41.7,4,40,4,0
28,43300,39.9,5,42,3,0
29,44500,44.5,5,27,3,0
28,43900,42.5,3,41,4,0
35,43500,40.8,4,32,4,0
29,43300,38.5,2,33,4,0
36,46600,50.7,4,38,4,0
42,44100,40.4,4,40,2,0
37,38600,41.7,5,33,3,0
50,46800,43.0,5,49,2,0
8,38700,39.8,4,37,5,0
39,43500,43.1,3,51,3,1
30,43700,37.4,2,33,3,0
47,45000,42.4,2,39,2,0
47,47400,38.9,0,44,2,0
37,45600,39.9,3,28,4,0
31,46700,45.9,3,41,3,0
15,38900,49.6,4,28,4,0
37,45500,40.6,4,31,3,0
22,38100,45.3,3,28,4,0
37,45900,44.1,3,43,2,0
36,45700,39.3,4,34,3,0
31,41300,42.2,4,40,4,0
39,47400,39.2,1,44,1,1
33,47600,41.8,1,44,3,0
35,41800,40.7,5,32,4,0
25,41700,45.9,4,43,4,0
23,45500,41.6,1,43,3,0
28,41800,42.7,3,28,4,0
38,43000,36.2,3,44,3,0
55,46600,37.2,3,51,1,1
38,45300,40.9,3,36,3,0
29,44100,43.6,3,36,3,0
32,44900,37.1,1,40,4,0
23,40100,43.1,4,33,3,0
47,46600,34.1,3,52,2,0
54,50100,40.7,1,45,1,1
46,53300,34.9,1,44,1,0
68,48100,33.3,2,54,1,1
39,43100,42.6,1,52,3,0
22,42400,44.7,4,37,4,0
26,44800,44.1,4,41,4,0
62,48700,36.4,0,40,2,0
55,46800,27.7,0,45,2,1
29,42500,41.0,3,38,4,0
34,44800,43.2,0,40,4,0
40,42900,41.1,4,44,3,0
48,50200,42.2,4,46,2,0
30,45000,41.8,4,34,4,0
19,41500,40.7,4,35,4,0
40,45500,44.3,3,39,2,0
58,50100,38.5,0,47,2,0
51,51100,42.2,1,46,1,0
41,45900,48.7,3,48,2,0
27,48800,49.6,6,28,5,0
34,44400,45.1,3,44,4,0
13,40400,37.4,2,31,4,0
52,46400,41.8,3,41,2,0
30,46500,41.6,3,40,3,0
50,47700,43.6,2,38,2,1
30,43800,41.8,3,42,4,0
37,49700,45.4,4,33,4,0
25,41100,40.6,3,33,4,0
31,43100,41.1,2,34,4,0
55,49500,47.4,2,48,1,1
31,45700,36.0,2,40,3,0
33,39600,46.6,3,37,4,0
46,44200,44.3,5,36,3,0
46,46400,37.4,2,40,2,1
32,44200,45.3,3,45,2,1
59,48000,34.1,1,60,1,0
38,47200,39.2,4,35,3,0
29,42700,41.6,4,40,3,0
34,45500,41.1,1,31,4,0
36,42700,39.5,4,37,2,0
41,46500,43.5,5,44,2,0
49,50400,41.3,2,46,2,0
37,49000,36.1,2,47,2,0
43,49200,42.6,3,46,2,1
47,44600,38.0,4,36,2,0
22,40300,47.6,5,31,5,0
63,50400,34.0,0,39,1,1
46,46100,38.3,0,53,2,1
26,47300,42.0,4,38,4,0
28,47300,46.6,5,38,4,0
36,48500,40.6,3,38,3,0
33,49300,40.1,2,42,3,0
48,44400,43.2,3,45,3,0
30,43500,46.3,6,28,4,0
52,50600,34.2,1,41,1,1
25,48100,37.5,2,43,3,0
25,42000,48.4,4,30,5,0
43,44500,38.6,2,30,3,0
31,47000,46.1,5,28,4,0
31,39600,45.8,6,39,3,0
43,44800,41.9,2,43,2,1
48,48100,44.0,2,50,2,0
57,47200,41.1,1,52,1,1
28,46600,42.1,5,37,5,0
43,46900,44.0,4,39,3,0
32,42500,48.9,4,44,3,0
13,38600,38.2,3,27,5,0
37,45400,35.3,2,39,4,0
31,44600,47.8,4,36,4,0
31,41600,37.5,3,33,3,1
31,41200,41.8,3,33,3,0
22,42000,42.1,3,37,4,0
40,39600,43.7,3,36,4,0
41,47200,43.5,3,48,3,0
31,42200,46.4,5,45,3,0
65,48000,40.1,0,40,1,0
50,44600,40.0,0,35,3,0
42,47100,42.2,4,44,4,0
40,45800,44.6,4,42,1,0
29,43800,44.1,3,39,3,0
29,42500,43.9,3,26,3,0
39,47400,47.9,3,40,2,1
45,49500,40.4,2,42,3,0
52,47600,38.4,0,47,3,0
48,47600,40.9,3,51,2,1
33,43300,44.0,5,45,3,0
45,49000,36.6,1,48,2,0
29,44600,46.3,4,40,3,0
37,47700,42.3,1,38,4,0
47,48600,36.8,1,42,2,0
43,48200,43.8,2,41,2,0
28,44000,39.4,3,32,4,0
35,44900,42.0,2,40,4,0
51,47400,40.3,2,46,4,0
53,47000,42.8,4,47,2,0
40,51300,33.8,2,44,2,0
32,46300,38.4,2,39,2,1
46,44400,42.0,5,39,2,0
41,45600,41.2,3,45,3,0
38,51400,44.4,3,42,4,0
48,49000,41.2,3,51,1,1
33,44500,44.5,1,40,3,0
29,43700,34.5,1,34,5,0
22,41700,42.1,2,45,4,0
33,46100,46.4,4,39,4,0
48,48300,41.5,1,42,2,0
19,42300,48.2,5,25,5,0
58,46200,42.1,3,57,1,0
67,49300,34.4,1,51,1,1
53,46700,40.6,2,39,2,1
28,42600,47.2,3,37,4,0
16,38300,48.9,7,38,5,0
26,45600,39.4,4,39,4,0
45,50800,39.7,2,44,2,0
38,43000,45.4,1,42,3,0
23,44000,45.9,5,29,3,0
46,48400,45.2,1,41,3,1
32,45200,46.7,5,40,4,0
45,47200,37.3,3,45,3,0
32,45400,39.5,1,39,5,0
42,46200,41.3,3,44,3,0
22,38900,41.6,5,31,5,0
18,40500,48.4,5,29,4,0
52,45500,43.8,4,44,2,0
38,42600,39.6,4,32,4,0
28,46500,42.7,2,34,3,0
33,44300,48.5,3,45,4,0
36,44500,39.5,1,41,1,1
30,45900,47.3,4,43,3,0
29,45600,38.2,2,41,2,0
28,44100,43.0,3,32,4,0
34,42900,40.7,1,40,5,0
33,41400,37.3,3,44,5,0
45,44100,40.1,5,37,3,0
34,44900,50.4,3,43,4,0
50,42400,40.7,2,48,3,0
15,38300,43.8,6,35,5,0
11,43200,41.0,2,35,5,0
38,44300,38.1,3,47,3,0
31,48000,42.1,3,29,2,0
32,41500,40.0,5,45,3,0
44,43600,44.6,3,41,3,1
32,43200,46.4,4,43,4,0
33,45200,41.2,2,37,3,0
40,46500,46.5,4,42,2,0
34,42100,41.3,2,41,2,0
44,46600,44.6,2,39,2,1
27,44300,46.6,3,37,3,0
45,45400,48.2,5,41,4,0
29,44600,48.5,3,40,3,1
20,45700,46.4,4,39,4,0
5,40300,42.8,4,33,4,0
46,45100,41.8,1,39,4,0
23,38600,45.4,4,37,3,0
22,44500,46.9,5,35,5,0
2,41500,49.6,4,34,5,0
35,44900,47.2,3,39,2,0
36,48800,38.3,2,37,3,0
47,44600,40.2,2,47,2,0
44,45500,38.0,1,43,2,0
34,41000,39.7,3,31,3,0
36,47100,45.9,3,39,3,1
69,48400,42.6,3,49,1,0
30,46100,36.2,2,38,2,1
43,40000,36.8,7,37,3,0
42,44800,41.5,2,40,3,0
58,47900,38.9,0,42,2,0
49,48000,39.0,3,39,3,0
43,44000,37.7,3,39,3,0
39,45200,41.3,3,41,3,0
25,38500,43.7,4,34,5,0
29,40600,41.0,3,29,3,0
19,42600,45.4,4,40,4,0
38,48200,53.1,4,47,3,0
27,45600,36.2,4,32,4,0
23,43200,49.0,4,35,3,0
30,39400,46.7,4,35,4,0
56,52500,34.8,3,44,1,1
29,42300,46.8,5,39,5,0
30,45000,45.4,3,30,4,0
42,44500,31.0,0,44,3,0
43,47200,41.5,1,45,2,1
50,51300,36.6,3,49,1,0
38,43300,47.8,4,46,4,1
43,47400,41.2,3,45,1,1
45,43700,39.9,2,44,3,0
58,48600,38.0,2,49,1,0
64,50500,39.6,0,53,1,1
39,47700,41.5,2,38,3,0
35,46800,43.0,0,45,3,0
29,44600,41.5,2,30,3,0
22,40500,48.4,6,32,4,0
40,42500,44.9,3,38,3,0
30,39000,45.2,6,33,5,0
33,45700,35.2,4,34,4,0
34,40400,42.6,3,42,2,0
45,42800,39.1,4,38,2,0
63,47700,35.4,1,44,2,0
31,41500,42.1,4,33,4,0
25,39800,43.0,4,27,5,0
30,46000,49.0,5,38,2,0
36,45600,43.6,3,38,5,0
45,45600,43.1,3,45,3,0
54,48400,34.7,0,44,2,0
44,49400,32.8,0,44,2,1
27,42700,47.0,2,42,3,0
28,44400,43.2,3,34,3,0
26,45400,46.9,4,26,2,1
51,45300,37.9,2,49,2,0
44,47200,46.5,2,39,2,0
47,44900,42.7,4,37,2,0
48,50800,43.2,2,41,2,0
35,42800,44.3,4,30,4,0
52,45700,33.4,3,46,2,0
3,42800,52.5,4,27,4,0
45,45700,39.3,3,41,3,0
47,49800,40.5,3,44,2,0
30,42000,44.6,6,45,5,0
62,48600,39.0,2,44,1,0
29,39900,45.2,3,33,5,0
41,42200,48.1,2,34,4,0
51,46800,40.3,0,48,3,0
39,45300,33.3,2,27,4,0
31,44800,48.0,2,41,4,0
27,41300,40.2,3,35,3,1
31,40500,41.2,3,30,5,0
30,43800,39.4,2,30,5,0
48,43700,42.6,4,45,3,0
27,41000,43.5,5,35,4,0
59,51000,32.8,2,40,1,0
38,46400,44.8,0,49,3,0
57,44700,43.4,2,52,2,0
35,45900,46.9,3,43,4,0
34,39800,41.7,3,42,4,0
12,41200,48.9,6,33,4,0
27,38700,40.1,2,29,5,0
31,40700,44.6,3,33,4,0
16,43700,46.1,5,48,4,0
47,48700,35.7,3,49,2,1
55,47600,34.2,3,37,3,0
29,44700,44.7,4,36,4,0
35,46800,44.5,1,43,2,1
63,49800,47.5,2,41,2,0
35,45500,39.7,2,43,2,0
17,42300,42.9,2,23,4,0
34,42000,42.2,5,48,4,0
24,45000,46.2,5,35,4,0
40,51800,40.1,2,50,1,1
27,40800,38.7,2,43,5,0
31,44800,46.8,1,41,4,0
26,47900,36.4,1,35,4,0
43,43600,40.5,3,44,2,1
53,43500,40.4,3,42,2,0
37,43800,36.8,3,38,4,1
20,41900,40.6,4,47,4,0
56,47800,39.4,1,45,3,1
29,43600,48.2,4,39,3,0
62,43000,46.2,3,41,2,0
29,44900,47.5,4,38,5,0
35,43200,41.9,1,37,4,0
36,46300,41.6,3,42,2,0
46,47600,47.0,1,50,3,0
43,46200,48.8,4,45,1,1
20,41700,47.0,3,28,4,0
29,44800,40.8,5,42,4,0
37,44200,43.1,2,46,3,0
38,47200,44.3,3,47,2,0
23,41000,49.4,3,44,5,1
28,45500,41.8,0,47,2,0
55,46700,38.0,0,37,3,0
49,47900,36.5,3,55,1,0
11,38300,43.6,3,30,5,0
27,44100,40.0,1,40,5,0
22,43200,40.1,3,29,3,1
30,45900,36.8,2,26,4,0
51,42700,47.1,3,42,2,0
30,42900,42.2,5,37,4,0
43,42800,37.6,2,38,3,0
46,51100,43.8,2,44,3,0
15,40100,52.0,5,35,4,0
8,44200,43.7,5,43,5,0
21,43200,40.4,4,29,4,0
37,45800,40.8,2,53,2,0
45,47900,38.6,1,35,2,1
39,43000,39.1,3,41,3,0
31,40800,42.8,4,26,3,0
21,40100,48.3,6,30,3,0
31,44900,43.9,5,39,4,0
40,45100,39.5,3,40,2,1
47,48600,42.1,1,41,2,0
23,43600,43.6,4,40,3,0
44,44500,45.3,1,38,4,0
30,47400,42.0,3,46,2,1
29,44600,41.5,4,36,5,0
46,47400,37.0,1,42,2,0
30,43900,46.3,4,31,5,0
23,42800,43.8,4,50,4,0
24,43100,38.3,4,41,4,0
44,46400,39.7,2,46,4,0
55,47100,42.0,3,45,2,0
22,46000,45.5,2,33,3,0
23,38700,39.3,6,49,4,0
30,42800,43.7,2,25,4,0
23,45700,44.5,1,32,4,1
57,47900,36.8,1,50,1,0
42,48000,44.2,4,42,2,0
37,52000,40.4,2,38,1,0
33,43600,39.8,1,45,2,1
31,43700,36.5,2,36,4,0
53,44800,38.1,2,41,3,0
27,41400,45.5,4,42,3,0
62,48200,40.0,0,37,1,1
35,47400,44.9,2,38,3,0
30,45400,42.6,5,42,3,0
35,44300,43.9,3,39,3,0
53,47800,46.2,2,40,1,0
46,47500,41.9,0,43,3,0
42,46400,38.8,2,39,1,1
43,45800,43.8,2,40,3,0
43,44300,40.0,4,36,3,0
13,43600,44.0,3,35,4,0
47,44600,39.7,2,48,2,1
41,47700,44.2,2,49,3,0
29,42100,48.5,3,35,4,0
32,41200,48.8,5,35,4,0
43,47300,42.4,2,42,2,0
45,46200,40.2,5,45,3,0
59,48400,41.8,1,40,2,0
27,45000,44.6,4,30,4,0
63,46900,39.7,2,47,1,0
26,42300,38.6,3,39,2,1
38,44300,36.5,2,45,3,1
33,46400,41.5,2,50,3,0
29,40000,50.2,5,39,4,0
31,44900,47.6,5,32,4,0
18,40100,42.9,4,43,3,1
43,43000,41.3,3,44,2,1
28,41600,37.7,3,37,4,0
30,43800,50.1,5,37,4,0
46,49000,45.7,5,47,2,0
35,48600,45.7,3,48,4,0
40,48300,42.6,3,45,3,1
45,44800,34.0,2,38,3,0
29,42400,44.6,5,51,2,1
37,44400,42.2,4,40,4,0
15,47000,41.9,5,49,4,0
25,47500,48.4,4,48,3,0
63,48800,39.4,2,38,1,1
59,46800,36.8,1,54,1,0
43,42700,40.8,3,31,2,1
44,44300,41.8,1,39,3,0
40,45400,42.5,4,39,2,0
18,42200,50.5,7,27,4,0
33,46200,38.4,3,51,2,1
50,51000,45.7,5,49,1,1
44,43000,42.8,4,41,2,0
29,42300,40.2,6,40,4,0
47,44700,39.5,2,43,2,0
18,41200,44.0,4,37,5,0
47,48500,40.5,1,39,2,1
50,44300,37.6,0,43,2,1
40,45700,44.3,1,39,2,1
23,43500,47.6,2,46,4,0
36,40100,44.3,4,39,4,0
30,44300,42.1,2,45,3,0
39,48900,43.4,2,36,4,0
39,45200,39.1,4,39,3,0
16,43000,48.3,3,45,5,0
42,46300,48.7,3,43,2,1
37,41000,45.8,3,36,5,0
45,47500,35.9,1,39,4,0
35,46800,42.1,3,42,3,0
19,40100,38.2,2,34,3,0
38,44800,43.2,4,37,4,0
31,44700,44.0,3,46,3,0
35,46100,39.2,2,42,1,0
33,47200,39.1,2,40,3,0
55,48900,40.9,1,44,2,0
30,43000,40.7,2,46,3,0
35,51100,40.7,3,45,2,0
24,47200,40.0,3,45,2,1
72,45200,40.7,0,51,1,1
32,46300,47.6,3,38,3,0
33,46100,53.2,5,41,2,0
22,46700,47.5,6,43,4,0
44,48300,47.5,6,34,3,0
47,46000,35.7,1,51,2,0
51,46500,34.2,1,39,1,1
30,37600,46.2,5,39,4,0
51,46100,41.7,1,41,4,0
24,42900,42.2,3,42,3,0
30,44900,37.5,4,34,3,0
28,41800,45.3,4,39,4,0
35,46700,47.0,6,39,2,0
51,50400,42.9,2,40,1,0
34,43800,42.4,1,48,4,0
42,49300,39.3,2,42,3,0
22,47500,44.9,4,35,3,0
42,47900,40.9,1,40,1,1
52,47500,41.4,0,36,2,0
38,46200,45.8,2,42,3,0
38,47100,36.8,3,35,3,0
42,42500,43.8,2,44,3,0
31,44600,37.8,1,47,3,0
35,40300,44.5,3,36,4,0
55,51400,37.1,1,54,2,0
43,45100,43.3,1,41,2,0
59,50400,40.2,0,47,2,1
29,44400,41.8,4,43,3,0
35,43900,36.2,4,34,3,0
49,47100,41.8,2,34,2,1
23,45800,40.0,5,26,3,0
35,44500,41.9,3,36,3,0
47,48000,43.2,4,47,2,1
30,42200,46.2,2,42,3,0
28,40300,40.1,4,35,4,0
39,45700,40.2,2,38,4,0
46,48000,45.5,1,39,3,0
26,47600,51.5,3,43,3,0
17,43100,44.5,3,30,4,0
33,47400,48.1,2,34,3,0
43,44000,38.9,2,44,3,0
52,44700,37.1,2,45,1,0
44,45800,36.9,3,45,2,0
20,39000,42.8,4,38,3,0
53,48000,32.9,2,50,3,0
44,46100,42.7,3,48,2,0
30,43100,37.6,3,41,4,1
47,45800,38.0,3,34,2,1
39,47100,41.1,0,42,2,0
26,41600,45.5,3,37,4,0
27,40200,38.2,4,28,3,0
52,49700,43.6,4,41,1,1
37,40800,43.1,4,38,4,0
46,46500,45.0,2,43,2,1
43,46100,43.8,5,40,4,0
22,43300,40.9,4,28,4,0
27,44400,40.9,2,40,4,0
47,43600,42.6,4,38,3,0
55,49000,38.2,2,50,1,1
23,43700,41.2,4,45,3,0
43,45900,42.7,4,37,3,0
41,48700,34.7,1,38,2,0
28,41100,46.7,5,44,3,0
42,42800,46.7,4,34,4,0
44,45500,40.1,1,41,3,0
32,42900,36.2,2,41,3,0
42,45500,43.6,0,44,3,0
42,44200,35.6,3,39,3,0
22,41400,43.3,4,26,5,0
22,45600,49.0,3,41,4,0
33,43400,47.3,1,44,3,0
45,46700,35.5,2,35,4,0
45,43500,41.4,3,47,1,0
23,45000,45.7,0,34,4,1
67,49900,44.7,3,57,1,0
33,42100,40.1,3,27,3,0
46,46200,38.8,3,40,4,0
34,47900,44.8,3,46,3,0
52,44800,42.3,3,45,3,0
37,46700,42.2,1,46,2,1
27,44100,44.1,5,43,4,0
44,42600,43.8,3,47,3,0
48,49000,44.3,3,40,2,1
30,43500,43.3,4,35,5,0
37,47000,46.5,2,37,3,0
25,43300,43.7,3,44,4,0
41,45700,38.2,2,43,3,1
8,39300,43.6,5,31,5,0
32,45300,48.3,1,40,3,1
26,41400,46.6,5,28,4,0
41,42900,40.8,3,32,3,0
24,45700,40.8,3,38,4,0
32,47900,45.3,4,40,3,1
51,44400,42.8,3,38,2,0
43,48700,37.9,3,37,3,0
48,50000,39.9,2,40,3,0
48,41600,44.9,4,42,2,1
36,45900,44.7,0,33,4,0
46,47000,39.7,1,60,2,0
60,50100,38.5,1,47,1,1
48,42500,48.7,2,43,2,1
25,45200,45.0,3,33,3,1
29,45500,38.1,1,47,2,1
21,45300,45.6,4,42,4,0
33,42700,44.8,4,37,3,0
28,46200,39.4,3,41,3,0
35,40400,46.3,5,40,3,0
43,43700,43.6,2,48,2,1
32,39100,42.9,4,40,3,0
44,50200,36.2,4,32,2,0
19,40100,36.3,3,33,5,0
34,47200,45.6,2,41,2,0
30,48600,43.0,3,43,5,0
55,46600,40.9,1,41,2,1
46,43700,35.2,3,43,3,0
34,45200,42.4,5,36,4,0
50,46800,44.1,3,43,1,0
51,48200,39.7,2,52,1,0
